epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4689,1.66293,3.95633,1.39941,0.00299,0.25294,0.0024,0.00176,1.15257,3.94945,1.07724,0.00016,0.00016,0.00016
2,63.2927,1.35052,2.6579,1.13583,0.00729,0.61765,0.01063,0.00548,1.05733,3.46839,0.979,0.000333268,0.000333268,0.000333268
3,92.4495,1.21964,1.9906,1.0438,0.0075,0.63529,0.00814,0.00468,1.11996,3.54474,1.001,0.000499408,0.000499408,0.000499408
4,122.301,1.11952,1.75269,1.00922,0.00715,0.60588,0.00931,0.00476,1.0831,3.52294,1.01482,0.00065842,0.00065842,0.00065842
5,153.134,1.11362,1.60502,0.99531,0.00674,0.57059,0.00779,0.0049,1.10176,3.48866,0.9893,0.000810304,0.000810304,0.000810304
6,183.67,1.14789,1.58565,1.05473,0.00701,0.59412,0.05467,0.04427,1.15942,3.35937,1.11002,0.00095506,0.00095506,0.00095506
7,214.009,1.10464,1.45299,1.034,0.92203,0.06963,0.21236,0.1755,1.19374,3.00568,1.18994,0.00109269,0.00109269,0.00109269
8,244.407,1.0947,1.45765,1.01148,1,0.06408,0.19497,0.15428,1.16732,3.00972,1.0971,0.00122319,0.00122319,0.00122319
9,274.046,1.13701,1.43826,1.04917,0.94824,0.17647,0.29301,0.22338,1.11659,2.6064,1.01578,0.00134656,0.00134656,0.00134656
10,304.257,1.10151,1.33734,1.02244,0.89765,0.25796,0.39349,0.28858,1.14791,2.3287,1.01718,0.0014628,0.0014628,0.0014628
11,334.632,1.08686,1.36302,1.01092,0.32552,0.27647,0.31076,0.24152,1.18465,2.21269,1.13132,0.00157192,0.00157192,0.00157192
12,364.037,1.13315,1.40402,1.06828,0.89438,0.49812,0.63364,0.42582,1.11339,1.90839,1.00212,0.0015644,0.0015644,0.0015644
13,394.704,1.10736,1.24525,1.0145,0.5591,0.46471,0.52572,0.37814,1.05828,2.04181,0.99836,0.0015248,0.0015248,0.0015248
14,425.68,1.1096,1.33379,1.04975,0.28736,0.49412,0.27194,0.1809,1.08786,2.05636,1.02329,0.0014852,0.0014852,0.0014852
15,456.239,1.04734,1.28196,1.02033,0.5673,0.55294,0.60205,0.42421,1.05779,1.74934,1.04174,0.0014456,0.0014456,0.0014456
16,486.891,0.99387,1.1853,1.00128,0.86911,0.70307,0.76957,0.54145,1.08681,1.52841,0.99874,0.001406,0.001406,0.001406
17,517.626,1.11436,1.25539,1.02818,0.89892,0.78824,0.79817,0.57865,1.0256,1.3488,0.97801,0.0013664,0.0013664,0.0013664
18,548.31,0.9941,1.14952,1.00268,0.87555,0.74492,0.78556,0.56498,0.98932,1.27226,0.95069,0.0013268,0.0013268,0.0013268
